input,stage,compute_seconds,save_seconds,stage_seconds,output,details
siren.tif,contrast,0.500732708023861,0.1326991249807179,0.6334524999838322,contrast/siren_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.029574112966656685, 0.9156888127326965]}"
siren.tif,color_mapping,0.09808554197661579,0.12463120894972235,0.2227318329969421,color_mapping/siren_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
three_generations.tif,cropped,0.45073541696183383,0.2775842919945717,0.7283326669130474,cropped/three_generations_tif.jpg,"{""overlap_bounds"": [111, 3209, 12, 3714], ""edge_depths"": {""top"": 119, ""bottom"": 21, ""left"": 119, ""right"": 210}, ""material_depths_rgb"": {""top"": [0, 0, 128], ""bottom"": [59, 0, 0], ""left"": [156, 169, 141], ""right"": [203, 197, 214]}, ""bounds_top_bottom_left_right"": [239, 3150, 181, 3500], ""retained_area_fraction"": 0.8106583144169275}"
three_generations.tif,white_balance,0.256554666091688,0.14084262493997812,0.39741354109719396,white_balance/three_generations_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [1.018159031867981, 1.0070816278457642, 0.9757364392280579]}"
three_generations.tif,contrast,0.40118433302268386,0.12988441600464284,0.5310889170505106,contrast/three_generations_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.09478415548801422, 0.8954858779907227]}"
three_generations.tif,color_mapping,0.09607512503862381,0.12922212504781783,0.22531262505799532,color_mapping/three_generations_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
tobolsk.jpg,cropped,0.009500000043772161,0.0015309159643948078,0.011039667064324021,cropped/tobolsk_jpg.jpg,"{""overlap_bounds"": [6, 341, 3, 396], ""edge_depths"": {""top"": 3, ""bottom"": 4, ""left"": 5, ""right"": 14}, ""material_depths_rgb"": {""top"": [0, 0, 0], ""bottom"": [13, 0, 0], ""left"": [22, 19, 19], ""right"": [17, 14, 15]}, ""bounds_top_bottom_left_right"": [9, 328, 25, 379], ""retained_area_fraction"": 0.8362658846529815}"
tobolsk.jpg,white_balance,0.004094834090210497,0.0015327080618590117,0.005635500070638955,white_balance/tobolsk_jpg.jpg,"{""percentile"": 99, ""rgb_gains"": [1.0266106128692627, 0.9932249188423157, 0.9812583923339844]}"
tobolsk.jpg,contrast,0.005592499976046383,0.0015010839561000466,0.007101416937075555,contrast/tobolsk_jpg.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.05002494156360626, 0.9581699967384338]}"
tobolsk.jpg,color_mapping,0.0023504579439759254,0.0013716659741476178,0.003726750030182302,color_mapping/tobolsk_jpg.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
wharf.tif,cropped,0.9252201250055805,0.23424337489996105,1.1594794999109581,cropped/wharf_tif.jpg,"{""overlap_bounds"": [83, 3244, 0, 3745], ""edge_depths"": {""top"": 50, ""bottom"": 10, ""left"": 151, ""right"": 118}, ""material_depths_rgb"": {""top"": [0, 0, 155], ""bottom"": [163, 0, 171], ""left"": [147, 153, 188], ""right"": [240, 234, 245]}, ""bounds_top_bottom_left_right"": [238, 3073, 188, 3500], ""retained_area_fraction"": 0.769589639400545}"
wharf.tif,white_balance,0.3416784580331296,0.17631224996875972,0.5180231661070138,white_balance/wharf_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [1.0051379203796387, 1.022531509399414, 0.9735710024833679]}"
wharf.tif,contrast,0.6508524579694495,0.18932391691487283,0.8402320829918608,contrast/wharf_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.10826804488897324, 0.883619487285614]}"
wharf.tif,color_mapping,0.11440874997060746,0.1660490829963237,0.28047458303626627,color_mapping/wharf_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
