input,load_seconds,pyramid_seconds,single_seconds,brightness_seconds,edges_seconds,cropped_seconds,white_balance_seconds,contrast_seconds,color_mapping_seconds,comparisons_seconds,total_seconds
cathedral.jpg,0.010825500008650124,0.005424875067546964,0.24203054199460894,0.16980974993202835,0.1408846250269562,0.013551291078329086,0.00569229107350111,0.007708083023317158,0.005200625048018992,0.6392439160263166,1.2431765830842778
church.tif,0.09323104191571474,0.6636733330087736,,4.494546208065003,4.89794787496794,0.6571203339844942,0.3628656250657514,0.656531082931906,0.2066167499870062,0.6173579159658402,12.67313487501815
emir.tif,0.048871667007915676,0.46049633296206594,,3.8512961249798536,4.75988758308813,0.5714497079607099,0.3920829580165446,0.6823159590130672,0.21365537494421005,0.5576580000342801,11.557582292007282
harvesters.tif,0.04772104194853455,0.44846441596746445,,4.226164249936119,4.845685624983162,0.5739475840236992,0.34017950005363673,0.7603456249926239,0.22556629194878042,0.7093640419188887,12.196524000028148
icon.tif,0.0708447500364855,0.48060737492050976,,4.054003334022127,5.470854334067553,0.6580595419509336,0.38291379204019904,0.6586286249803379,0.21447862510103732,0.5742089590057731,12.586895082960837
ilemselga.tif,0.049845583038404584,0.4589289999566972,,4.257986290962435,6.075235125026666,0.7576636250596493,0.40421004104427993,0.519463500007987,0.21889749995898455,0.6097540829796344,13.372093499987386
melons.tif,0.04838520800694823,0.5466149169951677,,4.177935166982934,5.468411999987438,0.5789087499724701,0.3938335420098156,0.6648977079894394,0.20680625003296882,0.5615918750409037,12.667241167044267
monastery.jpg,0.004318957915529609,0.00418195896781981,0.11226166610140353,0.11731216695625335,0.12169270892627537,0.01096637500450015,0.005898750037886202,0.007596709067001939,0.0037602500524371862,0.573193582938984,0.962718416005373
religous_painting.tif,0.07320479198824614,0.45734137506224215,,3.825466833077371,4.823169374954887,0.6465654999483377,0.36994304100517184,0.5523571249796078,0.27195191592909396,0.7174317500321195,11.759739166940562
self_portrait.tif,0.050818749936297536,0.5116929159266874,,4.154874625033699,5.185801665997133,0.6418281249934807,0.3610923750093207,0.5855357920518145,0.2119379589566961,0.5887737920274958,12.31137624999974
siren.tif,0.05180395802017301,0.8183522910112515,,4.968522625043988,5.62614670896437,0.6695033750729635,0.38146866695024073,0.6334524999838322,0.2227318329969421,0.6222754999762401,14.031415874953382
three_generations.tif,0.04766791604924947,0.48580270900856704,,4.661322542000562,4.830008167074993,0.7283326669130474,0.39741354109719396,0.5310889170505106,0.22531262505799532,0.7255056670401245,12.654663707944565
tobolsk.jpg,0.005144333932548761,0.003944292082451284,0.1279575410299003,0.11906175001058728,0.126688375021331,0.011039667064324021,0.005635500070638955,0.007101416937075555,0.003726750030182302,0.6362306249793619,1.047396459034644
wharf.tif,0.09953904210124165,0.47144883300643414,,4.880282374913804,6.859708083909936,1.1594794999109581,0.5180231661070138,0.8402320829918608,0.28047458303626627,1.0917477500624955,16.229716875008307
